x0,n_trials,converged_healthy,converged_pathological,fraction_healthy,well_healthy,well_pathological
-2.5,20,18,2,0.9,-1.0000000840229188,1.0000000840229193
-2.0,20,18,2,0.9,-1.0000000840229188,1.0000000840229193
-1.5,20,18,2,0.9,-1.0000000840229188,1.0000000840229193
-1.0,20,18,2,0.9,-1.0000000840229188,1.0000000840229193
-0.5,20,15,5,0.75,-1.0000000840229188,1.0000000840229193
0.0,20,8,12,0.4,-1.0000000840229188,1.0000000840229193
0.5,20,3,17,0.15,-1.0000000840229188,1.0000000840229193
1.0,20,1,19,0.05,-1.0000000840229188,1.0000000840229193
1.5,20,1,19,0.05,-1.0000000840229188,1.0000000840229193
2.0,20,1,19,0.05,-1.0000000840229188,1.0000000840229193
2.5,20,1,19,0.05,-1.0000000840229188,1.0000000840229193
