eta,sigma,mfpt,success_rate,n_transitions
0.0,0.05,2.74088150963526,0.1,3
0.0,0.125,2.059745282389811,0.1,3
0.0,0.2,2.4726945389077812,0.16666666666666666,5
0.0,0.27499999999999997,1.8538707741548308,0.13333333333333333,4
0.0,0.35,2.988597719543909,0.2,6
0.0,0.425,2.9029139161165567,0.1,3
0.0,0.49999999999999994,3.5812162432486496,0.06666666666666667,2
0.0,0.5750000000000001,3.2836567313462695,0.03333333333333333,1
0.0,0.65,2.1581816363272655,0.13333333333333333,4
0.0,0.725,2.994598919783957,0.03333333333333333,1
0.0,0.8,3.557711542308462,0.1,3
0.1,0.05,4.533906781356271,0.03333333333333333,1
0.1,0.125,1.9797292791891714,0.1,3
0.1,0.2,2.9252517170100685,0.1,3
0.1,0.27499999999999997,3.373474694938988,0.16666666666666666,5
0.1,0.35,3.316329932653197,0.1,3
0.1,0.425,2.7573514702940587,0.16666666666666666,5
0.1,0.49999999999999994,2.8568570857028552,0.23333333333333334,7
0.1,0.5750000000000001,1.934386877375475,0.03333333333333333,1
0.1,0.65,3.096619323864773,0.13333333333333333,4
0.1,0.725,3.5074514902980596,0.13333333333333333,4
0.1,0.8,2.0699139827965594,0.06666666666666667,2
0.2,0.05,2.5800160032006403,0.06666666666666667,2
0.2,0.125,2.6040208041608324,0.06666666666666667,2
0.2,0.2,3.144962325798493,0.2,6
0.2,0.27499999999999997,3.2146429285857168,0.13333333333333333,4
0.2,0.35,2.4214842968593717,0.03333333333333333,1
0.2,0.425,4.75495099019804,0.03333333333333333,1
0.2,0.49999999999999994,3.163299326531973,0.1,3
0.2,0.5750000000000001,1.937637527505501,0.13333333333333333,4
0.2,0.65,1.5563112622524504,0.03333333333333333,1
0.2,0.725,2.8795759151830365,0.06666666666666667,2
0.2,0.8,3.4851970394078817,0.06666666666666667,2
0.30000000000000004,0.05,3.1763852770554113,0.13333333333333333,4
0.30000000000000004,0.125,3.166299926651997,0.1,3
0.30000000000000004,0.2,3.704907648196306,0.2,6
0.30000000000000004,0.27499999999999997,4.369473894778956,0.16666666666666666,5
0.30000000000000004,0.35,3.703140628125625,0.16666666666666666,5
0.30000000000000004,0.425,3.461942388477696,0.13333333333333333,4
0.30000000000000004,0.49999999999999994,2.5945189037807563,0.1,3
0.30000000000000004,0.5750000000000001,3.770754150830166,0.1,3
0.30000000000000004,0.65,2.2049409881976394,0.13333333333333333,4
0.30000000000000004,0.725,1.3672734546909382,0.03333333333333333,1
0.30000000000000004,0.8,3.1512969260518773,0.1,3
0.4,0.05,3.76625325065013,0.06666666666666667,2
0.4,0.125,2.83631726345269,0.13333333333333333,4
